Movie,year,time_minute,imdb_rating,metascore,vote,gross_earning,certificates,genres,ProductionBudget,DomesticGross,WorldwideGross,Movie_year
No Time to Die,2021,163 min,7.6,68        ,"107,163",-,PG-13,"
Action, Adventure, Thriller            ",250000000,99509477,447809477,No Time to Die 2021
Dune,2021,155 min,8.3,75        ,"84,636",-,PG-13,"
Action, Adventure, Drama            ",165000000,0,116751980,Dune 2021
Dune,1984,137 min,6.4,41        ,"142,157",$30.93M,PG-13,"
Action, Adventure, Sci-Fi            ",165000000,0,116751980,Dune 1984
Black Widow,2021,134 min,6.8,67        ,"246,603",-,PG-13,"
Action, Adventure, Sci-Fi            ",200000000,183651655,376955389,Black Widow 2021
Shang-Chi and the Legend of the Ten Rings,2021,132 min,7.9,71        ,"109,552",-,PG-13,"
Action, Adventure, Fantasy            ",150000000,218070859,414270859,Shang-Chi and the Legend of the Ten Rings 2021
Spectre,2015,148 min,6.8,60        ,"407,514",$200.07M,PG-13,"
Action, Adventure, Thriller            ",300000000,200074175,879500760,Spectre  2015
Casino Royale,2006,144 min,8.0,80        ,"613,873",$167.45M,PG-13,"
Action, Adventure, Thriller            ",102000000,167365000,594420283,Casino Royale 2006
Casino Royale,1967,131 min,5.1,48        ,"28,917",-,Approved,"
Comedy            ",102000000,167365000,594420283,Casino Royale 1967
Venom,2018,112 min,6.7,35        ,"414,787",$213.52M,PG-13,"
Action, Adventure, Sci-Fi            ",116000000,213511408,853530899,Venom 2018
Skyfall,2012,143 min,7.8,81        ,"658,977",$304.36M,PG-13,"
Action, Adventure, Thriller            ",200000000,304360277,1110526981,Skyfall 2012
Quantum of Solace,2008,106 min,6.6,58        ,"424,649",$168.37M,PG-13,"
Action, Adventure, Thriller            ",230000000,169368427,591692078,Quantum of Solace 2008
The Suicide Squad,2021,132 min,7.3,72        ,"224,344",-,R,"
Action, Adventure, Comedy            ",185000000,55800219,167385739,The Suicide Squad 2021
Titanic,1997,194 min,7.8,75        ,"1,096,676",$659.33M,PG-13,"
Drama, Romance            ",200000000,659363944,2207986545,Titanic 1997
Cinderella,2021,113 min,4.2,41        ,"33,916",-,PG,"
Adventure, Comedy, Family            ",95000000,201151353,542351353,Cinderella  2021
Cinderella,2015,105 min,6.9,67        ,"169,105",$201.15M,PG,"
Adventure, Drama, Family            ",95000000,201151353,542351353,Cinderella  2015
Cinderella,1950,74 min,7.3,85        ,"152,045",$85.00M,G,"
Animation, Family, Fantasy            ",95000000,201151353,542351353,Cinderella 1950
Blade Runner 2049,2017,164 min,8.0,81        ,"502,751",$92.05M,R,"
Action, Drama, Mystery            ",185000000,92054159,258759329,Blade Runner 2049 2017
The Matrix,1999,136 min,8.7,73        ,"1,767,660",$171.48M,R,"
Action, Sci-Fi            ",65000000,173396389,465377200,The Matrix 1999
The Wolf of Wall Street,2013,180 min,8.2,75        ,"1,271,608",$116.90M,R,"
Biography, Comedy, Crime            ",100000000,116949183,389918903,The Wolf of Wall Street 2013
Zodiac,2007,157 min,7.7,78        ,"499,163",$33.08M,R,"
Crime, Drama, Mystery            ",85000000,33080084,83080084,Zodiac 2007
Snake Eyes,2021,121 min,5.4,43        ,"24,928",-,PG-13,"
Action, Adventure, Fantasy            ",73000000,55591409,103891409,Snake Eyes 2021
Avengers: Endgame,2019,181 min,8.4,78        ,"947,812",$858.37M,PG-13,"
Action, Adventure, Drama            ",400000000,858373000,2797800564,Avengers: Endgame 2019
Tenet,2020,150 min,7.4,69        ,"427,885",$58.46M,PG-13,"
Action, Sci-Fi, Thriller            ",205000000,57929000,361875852,Tenet 2020
Gladiator,2000,155 min,8.5,67        ,"1,403,705",$187.71M,R,"
Action, Adventure, Drama            ",103000000,187683805,457552323,Gladiator 2000
Interstellar,2014,169 min,8.6,74        ,"1,624,116",$188.02M,PG-13,"
Adventure, Drama, Sci-Fi            ",165000000,188017894,651994868,Interstellar 2014
The Dark Knight,2008,152 min,9.0,84        ,"2,428,117",$534.86M,PG-13,"
Action, Crime, Drama            ",185000000,533720947,998615789,The Dark Knight 2008
Wonder Woman 1984,2020,151 min,5.4,60        ,"233,753",$46.37M,PG-13,"
Action, Adventure, Fantasy            ",200000000,46530051,166089247,Wonder Woman 1984 2020
1917,2019,119 min,8.3,78        ,"497,055",$159.23M,R,"
Action, Drama, War            ",100000000,159227644,370603379,1917 2019
The Hunger Games,2012,142 min,7.2,68        ,"874,403",$408.01M,PG-13,"
Action, Adventure, Sci-Fi            ",80000000,408010692,677923379,The Hunger Games 2012
Die Another Day,2002,133 min,6.1,56        ,"212,253",$160.94M,PG-13,"
Action, Adventure, Thriller            ",142000000,160942139,431942139,Die Another Day 2002
Inception,2010,148 min,8.8,74        ,"2,178,860",$292.58M,PG-13,"
Action, Adventure, Sci-Fi            ",160000000,292576195,728582465,Inception 2010
The Departed,2006,151 min,8.5,85        ,"1,244,747",$132.38M,R,"
Crime, Drama, Thriller            ",90000000,132384315,289660619,The Departed 2006
Spider-Man,2002,121 min,7.3,73        ,"728,050",$403.71M,PG-13,"
Action, Adventure, Sci-Fi            ",139000000,403706375,821706375,Spider-Man 2002
Reminiscence,2021,116 min,5.9,46        ,"36,510",-,PG-13,"
Mystery, Romance, Sci-Fi            ",67972729,3900193,15451008,Reminiscence 2021
Ghostbusters,1984,105 min,7.8,71        ,"374,701",$238.63M,PG,"
Action, Comedy, Fantasy            ",144000000,128350574,229008658,Ghostbusters 1984
Ghostbusters,2016,117 min,6.5,60        ,"213,424",$128.34M,PG-13,"
Action, Comedy, Fantasy            ",144000000,128350574,229008658,Ghostbusters 2016
Fight Club,1999,139 min,8.8,66        ,"1,948,261",$37.03M,R,"
Drama            ",65000000,37030102,100820947,Fight Club 1999
The Lord of the Rings: The Fellowship of the Ring,2001,178 min,8.8,92        ,"1,736,338",$315.54M,PG-13,"
Action, Adventure, Drama            ",93000000,315544750,891216824,The Lord of the Rings: The Fellowship of the Ring 2001
Django Unchained,2012,165 min,8.4,81        ,"1,432,853",$162.81M,R,"
Drama, Western            ",100000000,162805434,449841566,Django Unchained 2012
Gone Girl,2014,149 min,8.1,79        ,"912,613",$167.77M,R,"
Drama, Mystery, Thriller            ",61000000,167767189,367160781,Gone Girl 2014
Man on Fire,2004,146 min,7.7,47        ,"345,641",$77.91M,R,"
Action, Crime, Drama            ",60000000,77906816,130968579,Man on Fire 2004
Grown Ups,2010,102 min,6.0,30        ,"237,673",$162.00M,PG-13,"
Comedy            ",75000000,162001186,272223000,Grown Ups  2010
Inglourious Basterds,2009,153 min,8.3,69        ,"1,338,008",$120.54M,R,"
Adventure, Drama, War            ",70000000,120774594,316915264,Inglourious Basterds 2009
The Fifth Element,1997,126 min,7.7,52        ,"450,359",$63.54M,PG-13,"
Action, Adventure, Sci-Fi            ",95000000,63570862,263898761,The Fifth Element 1997
Star Trek,2009,127 min,7.9,82        ,"590,761",$257.73M,PG-13,"
Action, Adventure, Sci-Fi            ",140000000,257730019,386839614,Star Trek 2009
Kingsman: The Secret Service,2014,129 min,7.7,60        ,"618,626",$128.26M,R,"
Action, Adventure, Comedy            ",94000000,128261724,404561724,Kingsman: The Secret Service 2014
Suicide Squad,2016,123 min,5.9,40        ,"653,385",$325.10M,PG-13,"
Action, Adventure, Fantasy            ",175000000,325100054,746719389,Suicide Squad 2016
Avengers: Infinity War,2018,149 min,8.4,68        ,"930,444",$678.82M,PG-13,"
Action, Adventure, Sci-Fi            ",300000000,678815482,2044540523,Avengers: Infinity War 2018
Charlie's Angels,2019,118 min,4.9,52        ,"65,157",-,PG-13,"
Action, Adventure, Comedy            ",90000000,125305545,259736090,Charlie's Angels 2019
Charlie's Angels,2000,98 min,5.6,52        ,"182,437",$125.31M,PG-13,"
Action, Adventure, Comedy            ",90000000,125305545,259736090,Charlie's Angels 2000
Hall Pass,2011,105 min,5.8,45        ,"122,624",$45.06M,R,"
Comedy, Romance            ",68000000,45060734,87173475,Hall Pass 2011
Guardians of the Galaxy,2014,121 min,8.0,76        ,"1,097,471",$333.18M,PG-13,"
Action, Adventure, Comedy            ",170000000,333714112,770882395,Guardians of the Galaxy 2014
Thor: Ragnarok,2017,130 min,7.9,74        ,"650,475",$315.06M,PG-13,"
Action, Adventure, Comedy            ",180000000,315058289,850482778,Thor: Ragnarok 2017
Space Jam: A New Legacy,2021,115 min,4.4,36        ,"56,916",-,PG,"
Animation, Adventure, Comedy            ",150000000,70528072,143343256,Space Jam: A New Legacy 2021
Tomorrow Never Dies,1997,119 min,6.5,52        ,"187,809",$125.33M,PG-13,"
Action, Adventure, Thriller            ",110000000,125304276,339504276,Tomorrow Never Dies 1997
Captain Marvel,2019,123 min,6.8,64        ,"494,721",$426.83M,PG-13,"
Action, Adventure, Sci-Fi            ",175000000,426829839,1129727388,Captain Marvel 2019
Godzilla vs. Kong,2021,113 min,6.4,59        ,"176,039",-,PG-13,"
Action, Sci-Fi, Thriller            ",155000000,100563133,467826620,Godzilla vs. Kong 2021
Jurassic Park,1993,127 min,8.1,68        ,"912,090",$402.45M,PG-13,"
Action, Adventure, Sci-Fi            ",63000000,402523348,1045573035,Jurassic Park 1993
The Girl with the Dragon Tattoo,2011,158 min,7.8,71        ,"441,672",$102.52M,R,"
Crime, Drama, Mystery            ",90000000,102515793,239373970,The Girl with the Dragon Tattoo 2011
The Matrix Reloaded,2003,138 min,7.2,62        ,"544,755",$281.49M,R,"
Action, Sci-Fi            ",150000000,281553689,738576929,The Matrix Reloaded 2003
The Holiday,2006,136 min,6.9,52        ,"262,209",$63.22M,PG-13,"
Comedy, Romance            ",85000000,63280000,205190324,The Holiday 2006
Cats,2019,110 min,2.7,32        ,"46,902",-,PG,"
Comedy, Drama, Family            ",100000000,27166770,75486351,Cats 2019
The Dark Knight Rises,2012,164 min,8.4,78        ,"1,583,190",$448.14M,PG-13,"
Action            ",230000000,448139099,1082228107,The Dark Knight Rises 2012
Army of the Dead,2021,148 min,5.8,57        ,"141,681",$1.00M,R,"
Action, Crime, Horror            ",90000000,0,0,Army of the Dead 2021
Spider-Man: Homecoming,2017,133 min,7.4,73        ,"558,213",$334.20M,PG-13,"
Action, Adventure, Sci-Fi            ",175000000,334201140,880166350,Spider-Man: Homecoming 2017
Eyes Wide Shut,1999,159 min,7.4,68        ,"319,208",$55.69M,R,"
Drama, Mystery, Thriller            ",65000000,55691208,104264617,Eyes Wide Shut 1999
Ready Player One,2018,140 min,7.4,64        ,"399,254",$137.69M,PG-13,"
Action, Adventure, Sci-Fi            ",150000000,137690172,579055653,Ready Player One 2018
Spider-Man 3,2007,139 min,6.2,59        ,"526,291",$336.53M,PG-13,"
Action, Adventure, Sci-Fi            ",258000000,336530303,894860230,Spider-Man 3 2007
Black Panther,2018,134 min,7.3,88        ,"680,011",$700.06M,PG-13,"
Action, Adventure, Sci-Fi            ",200000000,700059566,1336494321,Black Panther 2018
Saving Private Ryan,1998,169 min,8.6,91        ,"1,296,408",$216.54M,R,"
Drama, War            ",65000000,216335085,485035085,Saving Private Ryan 1998
Green Lantern,2011,114 min,5.5,39        ,"276,068",$116.60M,PG-13,"
Action, Adventure, Sci-Fi            ",200000000,116601172,219535492,Green Lantern 2011
The Amazing Spider-Man,2012,136 min,6.9,66        ,"583,450",$262.03M,PG-13,"
Action, Adventure, Fantasy            ",220000000,262030663,757890267,The Amazing Spider-Man 2012
Harry Potter and the Goblet of Fire,2005,157 min,7.7,81        ,"576,171",$290.01M,PG-13,"
Adventure, Family, Fantasy            ",150000000,290201752,891320084,Harry Potter and the Goblet of Fire 2005
Shutter Island,2010,138 min,8.2,63        ,"1,201,140",$128.01M,R,"
Mystery, Thriller            ",80000000,128012934,299461782,Shutter Island 2010
Avatar,2009,162 min,7.8,83        ,"1,158,897",$760.51M,PG-13,"
Action, Adventure, Fantasy            ",237000000,760507625,2845899541,Avatar 2009
The Mummy,1999,124 min,7.0,48        ,"408,192",$155.25M,PG-13,"
Action, Adventure, Fantasy            ",195000000,80101125,409953905,The Mummy 1999
The Mummy,2017,110 min,5.4,34        ,"179,737",$80.10M,PG-13,"
Action, Adventure, Fantasy            ",195000000,80101125,409953905,The Mummy 2017
The Mummy,1932,73 min,7.1,-,"25,217",-,Approved,"
Fantasy, Horror            ",195000000,80101125,409953905,The Mummy 1932
Tomb Raider,2018,119 min,6.3,48        ,"203,314",$58.25M,PG-13,"
Action, Adventure, Fantasy            ",90000000,58250803,273477501,Tomb Raider 2018
Jumper,2008,88 min,6.1,35        ,"295,831",$80.17M,PG-13,"
Action, Adventure, Sci-Fi            ",82500000,80172128,222640812,Jumper 2008
Deadpool 2,2018,119 min,7.7,66        ,"520,657",$324.59M,R,"
Action, Adventure, Comedy            ",110000000,324591735,786362370,Deadpool 2 2018
The Great Gatsby,2013,143 min,7.2,55        ,"505,139",$144.84M,PG-13,"
Drama, Romance            ",190000000,144840419,353640419,The Great Gatsby 2013
The Green Mile,1999,189 min,8.6,61        ,"1,207,930",$136.80M,R,"
Crime, Drama, Fantasy            ",60000000,136801374,290701374,The Green Mile 1999
Man of Steel,2013,143 min,7.0,55        ,"731,859",$291.05M,PG-13,"
Action, Adventure, Sci-Fi            ",225000000,291045518,667999518,Man of Steel 2013
Live by Night,2016,129 min,6.4,49        ,"55,020",$10.38M,R,"
Action, Crime, Drama            ",65000000,10378555,21774432,Live by Night 2016
Prometheus,2012,124 min,7.0,64        ,"585,485",$126.48M,R,"
Adventure, Mystery, Sci-Fi            ",125000000,126477084,402448265,Prometheus  2012
Mars Attacks!,1996,106 min,6.3,52        ,"218,401",$37.77M,PG-13,"
Comedy, Sci-Fi            ",80000000,37771017,101371017,Mars Attacks! 1996
Practical Magic,1998,104 min,6.3,46        ,"76,852",$46.68M,PG-13,"
Comedy, Drama, Fantasy            ",60000000,46850558,68336997,Practical Magic 1998
Chaos Walking,2021,109 min,5.7,38        ,"33,696",-,PG-13,"
Action, Adventure, Fantasy            ",100000000,13287908,26943020,Chaos Walking 2021
Troy,2004,163 min,7.3,56        ,"507,916",$133.38M,R,"
Drama, History            ",150000000,133298577,483152040,Troy 2004
Jumanji: The Next Level,2019,123 min,6.7,58        ,"216,421",$316.83M,PG-13,"
Action, Adventure, Comedy            ",125000000,316831246,798332900,Jumanji: The Next Level 2019
The Greatest Showman,2017,105 min,7.6,48        ,"257,190",$174.34M,PG,"
Biography, Drama, Musical            ",84000000,174340174,434104158,The Greatest Showman 2017
The Haunted Mansion,2003,88 min,5.1,34        ,"46,585",$75.85M,PG,"
Comedy, Family, Fantasy            ",90000000,75817994,155750628,The Haunted Mansion 2003
Sleepy Hollow,1999,105 min,7.3,65        ,"344,485",$101.07M,R,"
Fantasy, Horror, Mystery            ",70000000,101068340,207068340,Sleepy Hollow 1999
Harry Potter and the Chamber of Secrets,2002,161 min,7.4,63        ,"584,278",$261.99M,PG,"
Adventure, Family, Fantasy            ",100000000,262233381,876508805,Harry Potter and the Chamber of Secrets 2002
The Revenant,2015,156 min,8.0,76        ,"745,275",$183.64M,R,"
Action, Adventure, Drama            ",135000000,183637894,532938302,The Revenant 2015
Coraline,2009,100 min,7.7,80        ,"209,539",$75.29M,PG,"
Animation, Drama, Family            ",60000000,75286229,126037057,Coraline 2009
Van Helsing,2004,131 min,6.1,35        ,"254,909",$120.18M,PG-13,"
Action, Adventure, Fantasy            ",170000000,120150546,300150546,Van Helsing 2004
Logan,2017,137 min,8.1,77        ,"691,280",$226.28M,R,"
Action, Drama, Sci-Fi            ",127000000,226277068,614202315,Logan 2017
Men in Black,1997,98 min,7.3,71        ,"537,331",$250.69M,PG-13,"
Action, Adventure, Comedy            ",90000000,250690539,587790539,Men in Black 1997
The Lord of the Rings: The Return of the King,2003,201 min,8.9,94        ,"1,715,054",$377.85M,PG-13,"
Action, Adventure, Drama            ",94000000,377845905,1120214046,The Lord of the Rings: The Return of the King 2003
Harry Potter and the Prisoner of Azkaban,2004,142 min,7.9,82        ,"582,351",$249.36M,PG,"
Adventure, Family, Fantasy            ",130000000,249757726,789961033,Harry Potter and the Prisoner of Azkaban 2004
The Avengers,2012,143 min,8.0,69        ,"1,311,357",$623.28M,PG-13,"
Action, Adventure, Sci-Fi            ",225000000,623357910,1515100211,The Avengers 2012
The Irishman,2019,209 min,7.8,94        ,"353,238",$7.00M,R,"
Biography, Crime, Drama            ",159000000,0,910234,The Irishman 2019
Step Brothers,2008,98 min,6.9,51        ,"279,242",$100.47M,R,"
Comedy            ",65000000,100468793,128107642,Step Brothers 2008
Charlie and the Chocolate Factory,2005,115 min,6.6,72        ,"448,682",$206.46M,PG,"
Adventure, Comedy, Family            ",150000000,206459076,475825484,Charlie and the Chocolate Factory 2005
Dunkirk,2017,106 min,7.8,94        ,"598,516",$188.37M,PG-13,"
Action, Drama, History            ",150000000,190068280,519452014,Dunkirk 2017
Aquaman,2018,143 min,6.9,55        ,"417,964",$335.06M,PG-13,"
Action, Adventure, Fantasy            ",160000000,335061807,1143758700,Aquaman 2018
The Boss Baby: Family Business,2021,107 min,5.9,40        ,"11,860",-,PG,"
Animation, Adventure, Comedy            ",82000000,57290255,114583255,The Boss Baby: Family Business 2021
Doctor Strange,2016,115 min,7.5,72        ,"647,685",$232.64M,PG-13,"
Action, Adventure, Fantasy            ",165000000,232641920,676354481,Doctor Strange 2016
Avengers: Age of Ultron,2015,141 min,7.3,66        ,"794,217",$459.01M,PG-13,"
Action, Adventure, Sci-Fi            ",365000000,459005868,1395316979,Avengers: Age of Ultron 2015
Maleficent,2014,97 min,7.0,56        ,"358,076",$241.41M,PG,"
Action, Adventure, Family            ",180000000,241407328,758536735,Maleficent 2014
Cars,2006,117 min,7.1,73        ,"388,949",$244.08M,G,"
Animation, Adventure, Comedy            ",70000000,244082982,461630558,Cars 2006
Iron Man,2008,126 min,7.9,79        ,"986,925",$318.41M,PG-13,"
Action, Adventure, Sci-Fi            ",186000000,318604126,585171547,Iron Man 2008
The Village,2004,108 min,6.5,44        ,"251,683",$114.20M,PG-13,"
Drama, Mystery, Thriller            ",71682975,114197520,257641634,The Village 2004
300,2006,117 min,7.6,52        ,"758,691",$210.61M,R,"
Action, Drama            ",60000000,210614939,454161935,300 2006
Thor,2011,115 min,7.0,57        ,"786,136",$181.03M,PG-13,"
Action, Adventure, Fantasy            ",150000000,181030624,449326618,Thor 2011
Transformers,2007,144 min,7.0,61        ,"614,130",$319.25M,PG-13,"
Action, Adventure, Sci-Fi            ",151000000,319246193,708272592,Transformers 2007
Pearl Harbor,2001,183 min,6.2,44        ,"320,923",$198.54M,PG-13,"
Action, Drama, History            ",151500000,198539855,449239853,Pearl Harbor 2001
The Amazing Spider-Man 2,2014,142 min,6.6,53        ,"437,312",$202.85M,PG-13,"
Action, Adventure, Fantasy            ",200000000,202853933,708996336,The Amazing Spider-Man 2 2014
Coco,2017,105 min,8.4,81        ,"435,122",$209.73M,PG,"
Animation, Adventure, Comedy            ",175000000,210460015,797666425,Coco  2017
Alita: Battle Angel,2019,122 min,7.3,53        ,"247,935",$85.71M,PG-13,"
Action, Adventure, Sci-Fi            ",170000000,85838210,401900040,Alita: Battle Angel 2019
Captain America: The First Avenger,2011,124 min,6.9,66        ,"785,167",$176.65M,PG-13,"
Action, Adventure, Sci-Fi            ",140000000,176654505,370569776,Captain America: The First Avenger 2011
Spider-Man 2,2004,127 min,7.3,83        ,"578,083",$373.59M,PG-13,"
Action, Adventure, Sci-Fi            ",200000000,373524485,794697557,Spider-Man 2 2004
The Martian,2015,144 min,8.0,80        ,"797,768",$228.43M,PG-13,"
Adventure, Drama, Sci-Fi            ",108000000,228433663,655111538,The Martian 2015
Wonder Woman,2017,141 min,7.4,76        ,"613,051",$412.56M,PG-13,"
Action, Adventure, Fantasy            ",150000000,412563408,818058221,Wonder Woman 2017
Jumanji,1995,104 min,7.0,39        ,"324,363",$100.48M,PG,"
Adventure, Comedy, Family            ",65000000,100458310,262758310,Jumanji 1995
Watchmen,2009,162 min,7.6,56        ,"527,290",$107.51M,R,"
Action, Drama, Mystery            ",138000000,107509799,186976250,Watchmen 2009
Gemini Man,2019,117 min,5.7,38        ,"103,621",$20.55M,PG-13,"
Action, Drama, Sci-Fi            ",140000000,48546770,166623705,Gemini Man 2019
The Hobbit: An Unexpected Journey,2012,169 min,7.8,58        ,"782,306",$303.00M,PG-13,"
Adventure, Fantasy            ",200000000,303003568,1014938545,The Hobbit: An Unexpected Journey 2012
Edge of Tomorrow,2014,113 min,7.9,71        ,"633,482",$100.21M,PG-13,"
Action, Adventure, Sci-Fi            ",178000000,100206256,367028980,Edge of Tomorrow 2014
Stardust,2007,127 min,7.6,66        ,"263,529",$38.63M,PG-13,"
Adventure, Family, Fantasy            ",70000000,38634938,137022245,Stardust 2007
Dark Shadows,2012,113 min,6.2,55        ,"255,631",$79.73M,PG-13,"
Comedy, Fantasy, Horror            ",150000000,79727149,238202668,Dark Shadows 2012
The Matrix Revolutions,2003,129 min,6.8,47        ,"470,437",$139.31M,R,"
Action, Sci-Fi            ",150000000,139270910,427300260,The Matrix Revolutions 2003
Cast Away,2000,143 min,7.8,73        ,"553,902",$233.63M,PG-13,"
Adventure, Drama, Romance            ",85000000,233632142,427230516,Cast Away 2000
Batman Begins,2005,140 min,8.2,70        ,"1,364,155",$206.85M,PG-13,"
Action, Adventure            ",150000000,205343774,358858124,Batman Begins 2005
Hotel Transylvania,2012,91 min,7.1,47        ,"237,431",$148.31M,PG,"
Animation, Adventure, Comedy            ",85000000,148313048,378659142,Hotel Transylvania 2012
The Lovely Bones,2009,135 min,6.7,42        ,"164,124",$43.82M,PG-13,"
Drama, Fantasy, Thriller            ",95000000,44114232,94894448,The Lovely Bones 2009
Cloud Atlas,2012,172 min,7.4,55        ,"352,676",$27.11M,R,"
Action, Drama, Mystery            ",102000000,27108272,130673154,Cloud Atlas 2012
Monster House,2006,91 min,6.6,68        ,"109,100",$73.66M,PG,"
Animation, Comedy, Family            ",75000000,73661010,141267370,Monster House 2006
Black Hawk Down,2001,144 min,7.7,74        ,"378,135",$108.64M,R,"
Drama, History, War            ",95000000,108638745,159691085,Black Hawk Down 2001
Extraction,2020,116 min,6.7,56        ,"180,677",-,R,"
Action, Thriller            ",65000000,0,0,Extraction 2020
Almost Famous,2000,122 min,7.9,90        ,"265,583",$32.53M,R,"
Adventure, Comedy, Drama            ",60000000,32522352,47371191,Almost Famous 2000
Braveheart,1995,178 min,8.3,68        ,"990,832",$75.60M,R,"
Biography, Drama, History            ",72000000,75545647,209045244,Braveheart 1995
Moana,2016,107 min,7.6,81        ,"298,539",$248.76M,PG,"
Animation, Adventure, Comedy            ",150000000,248757044,634965560,Moana  2016
Kingsman: The Golden Circle,2017,141 min,6.7,44        ,"293,536",$100.23M,R,"
Action, Adventure, Comedy            ",104000000,100234838,408803696,Kingsman: The Golden Circle 2017
The Lion King,1994,88 min,8.5,88        ,"986,877",$422.78M,G,"
Animation, Adventure, Drama            ",260000000,543638043,1654367425,The Lion King 1994
The Lion King,2019,118 min,6.8,55        ,"227,257",$543.64M,PG,"
Animation, Adventure, Drama            ",260000000,543638043,1654367425,The Lion King 2019
Jack Reacher,2012,130 min,7.0,50        ,"321,885",$80.07M,PG-13,"
Action, Thriller            ",60000000,80070736,217370736,Jack Reacher 2012
The Hateful Eight,2015,168 min,7.8,68        ,"553,129",$54.12M,R,"
Crime, Drama, Mystery            ",62000000,54117416,152616451,The Hateful Eight 2015
Harry Potter and the Order of the Phoenix,2007,138 min,7.5,71        ,"536,991",$292.00M,PG-13,"
Action, Adventure, Family            ",150000000,292137260,940743940,Harry Potter and the Order of the Phoenix 2007
Jurassic World,2015,124 min,7.0,59        ,"602,689",$652.27M,PG-13,"
Action, Adventure, Sci-Fi            ",215000000,652306625,1669979967,Jurassic World 2015
Knight and Day,2010,109 min,6.3,46        ,"186,687",$76.42M,PG-13,"
Action, Adventure, Comedy            ",117000000,76423035,258751370,Knight and Day 2010
Justice League,2017,120 min,6.1,45        ,"426,523",$229.02M,PG-13,"
Action, Adventure, Fantasy            ",300000000,229024295,655945209,Justice League 2017
The Truman Show,1998,103 min,8.1,90        ,"993,061",$125.62M,PG,"
Comedy, Drama            ",60000000,125618201,264118201,The Truman Show 1998
Maleficent: Mistress of Evil,2019,119 min,6.6,43        ,"94,900",$113.93M,PG,"
Adventure, Family, Fantasy            ",185000000,113929605,489346495,Maleficent: Mistress of Evil 2019
Gods of Egypt,2016,127 min,5.4,25        ,"111,599",$31.15M,PG-13,"
Action, Adventure, Fantasy            ",140000000,31153464,138836756,Gods of Egypt 2016
Wild Wild West,1999,106 min,4.9,38        ,"156,694",$113.81M,PG-13,"
Action, Comedy, Sci-Fi            ",175000000,113805681,221229335,Wild Wild West 1999
Independence Day,1996,145 min,7.0,59        ,"550,360",$306.17M,PG-13,"
Action, Adventure, Sci-Fi            ",75000000,306169255,817400878,Independence Day 1996
Jumanji: Welcome to the Jungle,2017,119 min,6.9,58        ,"346,282",$404.52M,PG-13,"
Action, Adventure, Comedy            ",90000000,404508916,961613199,Jumanji: Welcome to the Jungle 2017
X-Men,2000,104 min,7.4,64        ,"589,258",$157.30M,PG-13,"
Action, Adventure, Sci-Fi            ",75000000,157299717,296872367,X-Men 2000
Signs,2002,106 min,6.7,59        ,"349,097",$227.97M,PG-13,"
Drama, Mystery, Sci-Fi            ",70702619,227969295,408250578,Signs 2002
Scooby-Doo,2002,86 min,5.2,35        ,"105,531",$153.29M,PG,"
Adventure, Comedy, Family            ",84000000,153294164,276294164,Scooby-Doo 2002
Fury,2014,134 min,7.6,64        ,"451,965",$85.82M,R,"
Action, Drama, War            ",80000000,85817906,210315681,Fury 2014
Batman v Superman: Dawn of Justice,2016,152 min,6.4,44        ,"665,849",$330.36M,PG-13,"
Action, Adventure, Sci-Fi            ",263000000,330360194,872395091,Batman v Superman: Dawn of Justice 2016
The Lord of the Rings: The Two Towers,2002,179 min,8.7,87        ,"1,550,489",$342.55M,PG-13,"
Action, Adventure, Drama            ",94000000,342548984,919148764,The Lord of the Rings: The Two Towers 2002
The Magnificent Seven,2016,132 min,6.9,54        ,"199,943",$93.43M,PG-13,"
Action, Adventure, Western            ",90000000,93432655,162136124,The Magnificent Seven 2016
The Magnificent Seven,1960,128 min,7.7,74        ,"91,594",$4.91M,Approved,"
Action, Adventure, Western            ",90000000,93432655,162136124,The Magnificent Seven 1960
Oblivion,2013,124 min,7.0,54        ,"502,671",$89.02M,PG-13,"
Action, Adventure, Sci-Fi            ",120000000,89107235,287916633,Oblivion  2013
Grown Ups 2,2013,101 min,5.4,19        ,"146,810",$133.67M,PG-13,"
Comedy            ",80000000,133668525,247023808,Grown Ups 2 2013
Fantastic Beasts: The Crimes of Grindelwald,2018,134 min,6.5,52        ,"239,767",$159.56M,PG-13,"
Adventure, Family, Fantasy            ",200000000,159555901,651280475,Fantastic Beasts: The Crimes of Grindelwald 2018
Harry Potter and the Half-Blood Prince,2009,153 min,7.6,78        ,"501,361",$301.96M,PG,"
Action, Adventure, Family            ",250000000,302089278,930673167,Harry Potter and the Half-Blood Prince 2009
The Hunger Games: Catching Fire,2013,146 min,7.5,76        ,"634,463",$424.67M,PG-13,"
Action, Drama, Mystery            ",130000000,424668047,864868047,The Hunger Games: Catching Fire 2013
Monster Hunter,2020,103 min,5.3,47        ,"47,780",-,PG-13,"
Action, Adventure, Fantasy            ",60000000,15104790,44400541,Monster Hunter  2020
Captain America: Civil War,2016,147 min,7.8,75        ,"711,882",$408.08M,PG-13,"
Action, Adventure, Sci-Fi            ",250000000,408084349,1151918521,Captain America: Civil War 2016
Pirates of the Caribbean: Dead Men Tell No Tales,2017,129 min,6.5,39        ,"281,907",$172.56M,PG-13,"
Action, Adventure, Fantasy            ",230000000,172558876,794861794,Pirates of the Caribbean: Dead Men Tell No Tales 2017
